web-scraper-order,web-scraper-start-url,price,location,address,type,nobeds,nobath,sqft_price,size,pagination,pagination-href
"1647920745-5763","https://www.edgeprop.my/buy/johor/all-residential?page=619","RM 438,000EdgeProp Only","Perling Apartment","Jalan Undan 8, Johor Bahru, Johor","Non Landed","3 beds","2 bath","2 carpark","RM 423/sqft","",""
"1647923310-13752","https://www.edgeprop.my/buy/johor/all-residential?page=220","RM 460,000EdgeProp Only","Taman Nusa Bayu","Iskandar Puteri (Nusajaya), Johor","Landed","4 beds","3 bath","RM 328/sqft","1,400 sqft","",""
"1647919152-127","https://www.edgeprop.my/buy/johor/all-residential?page=901","RM 350,000","SuriaMas Suites","Jalan Serantau, Taman Dato Onn, Johor Bahru, Johor","Non Landed","3 beds","2 bath","RM 411/sqft","850 sqft","",""
"1647922207-10595","https://www.edgeprop.my/buy/johor/all-residential?page=377","RM 317,000","Taman Tan Sri Yacob","Jalan Putra, Skudai, Johor","Landed","3 beds","2 bath","RM -","- sqft","",""
"1647921404-8018","https://www.edgeprop.my/buy/johor/all-residential?page=506","RM 465,000","Taman Bukit Indah","Jalan Indah, Johor Bahru, Johor","Landed","3 beds","2 bath","RM 332/sqft","1,400 sqft","",""
"1647921447-8172","https://www.edgeprop.my/buy/johor/all-residential?page=499","RM 418,000","Taman Skudai Baru","Jalan Hang Jebat, Skudai, Johor","Landed","3 beds","2 bath","RM 271/sqft","1,540 sqft","",""
"1647921592-8644","https://www.edgeprop.my/buy/johor/all-residential?page=475","RM 460,000","Taman Rinting","Jalan Balau, Masai, Johor","Landed","3 beds","2 bath","RM 138/sqft","3,315 sqft","",""
"1647921079-6876","https://www.edgeprop.my/buy/johor/all-residential?page=563","RM 280,000EdgeProp Only","Jalan Lading 1","Ulu Tiram, Johor","Landed","3 beds","2 bath","RM 363/sqft","770 sqft","",""
"1647922962-12832","https://www.edgeprop.my/buy/johor/all-residential?page=266","RM 468,000","Taman Setia Indah","Jalan Setia, Johor Bahru, Johor","Landed","4 beds","3 bath","RM 400/sqft","1,170 sqft","",""
"1647923643-14800","https://www.edgeprop.my/buy/johor/all-residential?page=167","RM 735,000EdgeProp Only","Taman Johor Jaya","Off Lebuhraya Pasir Gudang, Johor Bahru, Johor","Landed","4 beds","3 bath","RM 229/sqft","3,196 sqft","",""
"1647922110-10263","https://www.edgeprop.my/buy/johor/all-residential?page=394","RM 370,000","Taman Desa Jaya","Off Jalan desa Jaya, Johor Bahru, Johor","Landed","3 beds","2 bath","RM 264/sqft","1,400 sqft","",""
